ID,DNAME2016,District_2016,DCODE2014,DNAME2014,District_2014,SUBREGION,REGION,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Average_Household_Size_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014
1,ABIM,Abim,314,ABIM,Abim,KARAMOJA,NORTHERN REGION,18083,107966,52456,55510,2748.699895,39.27893337,5.970580103,18443,7713,14180,19801,17082,25960,17290,15683,2400,5480,6585,913,17581,12459,14967,8086,15430,2653,15094,2989,16106,1977,320,17763,2770,9155,6158,907,5.015760659,2037,3159,11980
2,ADJUMANI,Adjumani,301,ADJUMANI,Adjumani,WEST NILE,NORTHERN REGION,41360,225251,108298,116953,3090.274506,72.89028842,5.44610735,41951,8395,22088,53638,30817,53887,35909,25517,15843,13955,13382,3016,37794,32596,36639,33509,30178,11182,35680,5680,33787,7573,2631,38729,8407,26320,6633,3716,8.984526112,3987,9934,23723
3,AGAGO,Agago,322,AGAGO,Agago,ACHOLI,NORTHERN REGION,43418,227792,110495,117297,3524.058046,64.63911689,5.246487632,41806,11027,26128,54961,26739,51661,39671,39867,3551,15678,21342,1537,41807,31532,38330,29469,38022,5396,37087,6331,39966,3452,10702,32716,8506,12354,22558,2492,5.739555023,10607,20726,9593
4,ALEBTONG,Alebtong,323,ALEBTONG,Alebtong,LANGO,NORTHERN REGION,46280,227541,110989,116552,1550.857007,146.7195228,4.916616249,43305,8896,22128,67215,24265,61705,34476,42738,3542,23668,26557,1710,45229,37688,43404,39828,40712,5568,35356,10924,42805,3475,15618,30662,6346,33334,6600,1871,4.04278306,4901,29050,10458
5,AMOLATAR,Amolatar,315,AMOLATAR,Amolatar,LANGO,NORTHERN REGION,27988,147166,73014,74152,1751.918857,84.00274901,5.258182078,28207,5287,8926,46224,18620,46339,16832,23864,4124,15685,19866,1738,26927,23859,26286,26631,23629,4359,18661,9327,25082,2906,859,27129,2304,21477,4207,2591,9.257538945,2980,10193,12224
6,AMUDAT,Amudat,324,AMUDAT,Amudat,KARAMOJA,NORTHERN REGION,15494,105769,54246,51523,1632.224646,64.80051643,6.826448948,6609,20074,33178,4169,4281,6462,28840,12010,3484,3045,1600,0,13468,8375,13133,12471,14783,711,11862,3632,14334,1160,6632,8862,652,1338,13504,293,1.891054602,2088,1372,11741
7,AMURIA,Amuria,216,AMURIA,Amuria,TESO,EASTERN REGION,48316,270928,132521,138407,2586.641037,104.741244,5.607417833,54262,8759,21415,73694,33464,67628,40681,41769,6547,25337,29873,2286,46015,37400,44207,41345,42584,5732,41278,7038,43594,4722,4079,44237,7093,29687,11536,3449,7.138422055,2752,18163,23952
8,AMURU,Amuru,316,AMURU,Amuru,ACHOLI,NORTHERN REGION,36694,186696,91284,95412,3538.439325,52.76224426,5.087916281,35206,9535,21304,47093,18913,43123,31700,31625,5069,15107,14365,3475,33205,27996,33246,25606,34206,2488,30313,6381,34219,2475,18006,18688,6343,21306,9045,2414,6.578732218,7239,22596,4445
9,APAC,Apac,302,APAC,Apac,LANGO,NORTHERN REGION,71680,368626,180995,187631,3226.048107,114.2655,5.14266183,69945,13791,21639,119790,45131,115627,43485,63669,8011,42524,48662,4398,69304,58000,66307,65857,57819,13861,52348,19332,62718,8962,7243,64437,10595,52457,8628,4357,6.078404018,9257,29274,28792
10,ARUA,Arua,303,ARUA,Arua,WEST NILE,NORTHERN REGION,145230,773767,370533,403234,4340.553525,178.2645913,5.327873029,135743,28225,64570,230408,104365,234514,107942,113205,32025,76199,57390,131710,123850.4,127596,138752,127827,81542,63688,100542,44688,120135,25095,38449,106781,22352,105455,17423,15943,10.97775942,39128,74989,15170
11,BUDAKA,Budaka,217,BUDAKA,Budaka,TESO,EASTERN REGION,37219,207597,100620,106977,410.200328,506.0868698,5.577715683,42370,4882,15009,55100,28546,51419,32207,32869,4350,19682,16552,2154,36406,27911,34580,35652,10865,26354,7944,29275,28910,8309,3960,33259,7694,27430,2095,2179,5.854536661,2489,30076,2475
12,BUDUDA,Bududa,218,BUDUDA,Bududa,ELGON,EASTERN REGION,36883,210173,105820,104353,318.6020332,659.6725008,5.698370523,46544,3436,11687,56797,34282,62571,26421,32625,4258,22646,4111,1099,35857,32677,34583,32139,33841,3042,2566,34317,33840,3043,11103,25780,9539,25286,2058,1554,4.213323211,4280,28049,3000
13,BUGIRI,Bugiri,201,BUGIRI,Bugiri,EAST CENTRAL,EASTERN REGION,74529,382913,185925,196988,1052.784135,363.7146376,5.137771874,81324,8743,32419,97235,49242,91681,60530,60192,14337,40985,33145,4435,61683,62018,69767,69945,37517,37012,27406,47123,51107,23422,16800,57729,15374,51469,7686,6242,8.37526332,5836,56565,5886
14,BUHWEJU,Buhweju,420,BUHWEJU,Buhweju,SOUTH WESTERN,WESTERN REGION,24816,120720,59059,61661,745.6627014,161.8962565,4.864603482,23883,3368,10614,37329,12544,37000,15625,22224,2592,16389,4059,1208,23943,16389,4059,1208,18983,5833,2865,21951,21584,3232,12562,12254,2965,21174,677,1967,7.926337847,2234,17915,2700
15,BUIKWE,Buikwe,117,BUIKWE,Buikwe,CENTRAL 2,CENTRAL REGION,98153,422771,207324,215447,1452.01309,291.1619758,4.307265188,82428,5243,23655,96206,95822,146765,40023,45819,52334,63178,21815,8363,86352,90993,92878,86060,25238,72915,5305,92848,40463,57690,14717,83436,25667,67834,4652,27379,27.89420598,12233,49312,9229
16,BUKEDEA,Bukedea,219,BUKEDEA,Bukedea,TESO,EASTERN REGION,36252,203600,98684,104916,1049.140343,194.0636459,5.616241863,42842,4650,13319,57843,26239,51750,32047,31572,4680,18615,19865,2290,35021,30298,33093,33496,24300,11952,21806,14446,30239,6013,3797,32455,5094,24392,6766,2098,5.787266909,3179,22898,8077
17,BUKOMANSIMBI,Bukomansimbi,118,BUKOMANSIMBI,Bukomansimbi,CENTRAL 1,CENTRAL REGION,34390,151413,75109,76304,599.6999408,252.4812656,4.402820587,33491,1924,8663,44400,21023,49880,13713,27836,6554,25659,14973,5982,31441,31017,32835,28299,6604,27786,940,33450,20173,14217,18893,15497,8458,25244,688,5224,15.19046234,4035,22706,2425
18,BUKWO,Bukwo,220,BUKWO,Bukwo,ELGON,EASTERN REGION,16638,89356,45058,44298,559.3676285,159.744675,5.370597428,19103,1120,3677,23277,15959,26113,10780,13767,2871,6790,1140,774,15713,14765,15526,15776,16018,620,7623,9015,15557,1081,7053,9585,3213,11509,1916,846,5.084745763,2697,11166,1929
19,BULAMBULI,Bulambuli,225,BULAMBULI,Bulambuli,ELGON,EASTERN REGION,34028,174513,86108,88405,694.181522,251.3938998,5.128511814,37077,3049,10102,46984,31505,52735,23118,29110,4918,20575,6835,1424,32528,29952,32345,31626,31680,2348,3878,30150,31780,2248,11143,22885,4401,27238,2389,1863,5.474903021,3443,26716,2006
20,BULIISA,Buliisa,416,BULIISA,Buliisa,WESTERN,WESTERN REGION,21652,113161,57801,55360,2038.425474,55.51392554,5.226353224,18875,3929,13570,30166,10543,25837,21462,14443,7209,11968,8317,1620,20543,17981,19136,19962,19126,2526,13330,8322,18817,2835,6528,15124,4783,12913,3956,1641,7.578976538,2761,13508,3742
21,BUNDIBUGYO,Bundibugyo,401,BUNDIBUGYO,Bundibugyo,WESTERN,WESTERN REGION,44827,224387,108435,115952,851.7541954,263.441027,5.005621612,43007,4320,22722,59401,30200,59316,38238,33709,11118,29851,3697,3062,42776,39805,39949,41371,36323,8504,1604,43223,39390,5437,20518,24309,8165,35932,730,4998,11.14953042,5672,25082,9075
22,BUSHENYI,Bushenyi,402,BUSHENYI,Bushenyi,SOUTH WESTERN,WESTERN REGION,51363,234443,114207,120236,845.391989,277.3186913,4.564433542,43515,2487,18283,64237,46463,89516,21997,34455,16908,38357,12319,5182,49214,48615,49859,47352,31198,20165,845,50518,31079,20284,21419,29944,13071,37978,314,10095,19.6542258,12739,24294,4235
23,BUSIA,Busia,202,BUSIA,Busia,EAST CENTRAL,EASTERN REGION,64812,323662,156447,167215,763.4378953,423.9532803,4.993859162,67232,5185,18755,85058,55717,92081,43942,42775,22037,64812,35290,3426,60540,58070,59430,60582,41497,23315,28413,36399,41486,23326,7497,57315,14038,44876,5898,7961,12.28321916,8348,45456,3047
24,BUTALEJA,Butaleja,221,BUTALEJA,Butaleja,ELGON,EASTERN REGION,44376,244153,119466,124687,655.1183933,372.6853077,5.50191545,50940,5856,18041,61594,32155,56769,40019,39863,4513,23153,20866,1929,42947,31875,41278,42268,18779,25597,13503,30873,35458,8918,3535,40841,6657,32197,5522,2284,5.146926266,2201,36750,3141
25,BUTAMBALA,Butambala,119,BUTAMBALA,Butambala,CENTRAL 1,CENTRAL REGION,21724,100840,50082,50758,405.3870492,248.7499297,4.641870742,22631,914,4313,24598,19052,33424,7313,16070,5654,16618,5401,3219,19529,16618,5401,3219,3762,17962,346,21378,9965,11759,4959,16765,6811,14567,346,4115,18.94218376,3582,12512,1515
26,BUVUMA,Buvuma,120,BUVUMA,Buvuma,CENTRAL 2,CENTRAL REGION,25183,89890,48414,41476,9611.95893,9.35189181,3.569471469,13102,1452,8285,27327,12450,28385,15793,11044,14139,13828,4562,1013,20952,21309,22408,22561,23629,1554,7495,17688,23243,1940,17073,8110,2659,8011,14513,1852,7.354167494,1364,15086,6881
27,BUYENDE,Buyende,226,BUYENDE,Buyende,EAST CENTRAL,EASTERN REGION,61297,323067,158615,164452,1879.248024,171.9129119,5.270518949,64078,12077,30588,81505,31915,67330,56338,52493,8804,37761,38821,4283,58505,47718,56965,58355,28088,33209,25382,35915,49960,11337,8150,53147,10001,46356,4940,4661,7.603961042,2466,41271,12899
28,DOKOLO,Dokolo,317,DOKOLO,Dokolo,LANGO,NORTHERN REGION,34870,183093,89476,93617,1093.917753,167.3736435,5.250731288,35534,8814,13042,52327,25262,56007,26773,31428,3442,21479,21656,1511,34178,29593,32972,33453,26850,8020,23473,11397,30556,4314,5265,29605,3425,28126,3319,2306,6.6131345,5486,18479,8599
29,GOMBA,Gomba,121,GOMBA,Gomba,CENTRAL 1,CENTRAL REGION,35286,159922,82167,77755,1670.087472,95.75666107,4.532165731,33618,1866,12972,46277,20079,49637,18930,27790,7496,25469,11651,5140,32385,32059,33613,30989,16916,18370,4093,31193,24395,10891,17438,17848,7280,26075,1931,4672,13.24037862,3001,24063,3550
30,GULU,Gulu,304,GULU,Gulu,ACHOLI,NORTHERN REGION,55517,275613,134571,141042,1935.263041,142.4162991,4.964479349,49676,5125,16001,60013,68234,93121,30762,27807,27710,31872,23751,7568,51966,51231,52773,45114,37026,18491,34561,20956,38371,17146,10077,45440,16604,35598,3315,11794,21.2439433,9648,29235,4840
31,HOIMA,Hoima,403,HOIMA,Hoima,WESTERN,WESTERN REGION,125576,572986,287906,285080,5640.576,101.582888,4.56286233,96946,17786,52433,161635,79734,176368,82448,85300,40276,83836,47464,16982,113864,110772,119848,117994,80895,44681,40094,85482,97607,27969,42562,83014,20496,96866,8214,21098,16.80098108,9295,73161,22022
32,IBANDA,Ibanda,417,IBANDA,Ibanda,SOUTH WESTERN,WESTERN REGION,55000,249625,121440,128185,970.9085041,257.1045561,4.538636364,47694,3619,20446,73503,38207,86898,27860,42907,12093,39145,17264,5194,52625,51087,53115,51380,35647,19353,2571,52429,36356,18644,26616,28384,9970,44329,701,8343,15.16909091,7649,33348,5660
33,IGANGA,Iganga,203,IGANGA,Iganga,EAST CENTRAL,EASTERN REGION,102703,504197,241182,263015,1015.810589,496.3494234,4.909272368,104099,8382,38366,114561,97889,146242,67602,64011,38692,64063,42047,7912,97164,93586,97349,95291,20118,82585,7078,95625,55556,47147,10050,92653,26543,71928,4232,17578,17.11537151,9661,64769,10695
34,ISINGIRO,Isingiro,418,ISINGIRO,Isingiro,SOUTH WESTERN,WESTERN REGION,89021,427300,206846,220454,2649.86946,161.2532264,4.799991013,83779,10229,45047,123894,46421,131685,56639,73280,15741,60263,24920,9280,83761,73862,83931,81726,63496,25525,8184,80837,71588,17433,64224,24797,13205,73010,2806,10296,11.56581031,9518,60072,9135
35,JINJA,Jinja,204,JINJA,Jinja,EAST CENTRAL,EASTERN REGION,105673,471242,230189,241053,722.3993207,652.3289633,4.459436185,88232,5391,22631,98691,129159,173066,43035,40245,65428,52235,22650,9538,86122,97581,101517,94352,25607,80066,1461,104212,45288,60385,4967,100706,26601,76776,2296,34456,32.60624758,9105,53161,8951
36,KAABONG,Kaabong,318,KAABONG,Kaabong,KARAMOJA,NORTHERN REGION,29211,167879,79207,88672,7306.738376,22.97591502,5.747115813,10321,26766,63023,13146,9066,15074,57937,23654,5557,2364,1733,382,28494,11613,23397,11613,27556,1655,23998,5213,27144,2067,6391,22820,3024,10630,15557,779,2.666803601,580,246,27606
37,KABALE,Kabale,404,KABALE,Kabale,SOUTH WESTERN,WESTERN REGION,74549,331335,158238,173097,1047.242976,316.3878944,4.444526419,58266,4749,31430,90682,58783,119572,38783,56372,18177,54823,20661,4133,72604,68844,71282,67944,60520,14029,979,73570,56488,18061,13306,61243,11569,62467,513,11423,15.32280782,9790,37525,15811
38,KABAROLE,Kabarole,405,KABAROLE,Kabarole,WESTERN,WESTERN REGION,107464,469236,233648,235588,1815.65658,258.4387406,4.366448299,84752,9420,39019,135640,75864,165071,53901,64055,40628,79662,30853,12115,101405,98429,102197,99404,78784,28680,3126,104338,78787,28677,36363,71101,19408,85668,2388,19635,18.27123502,9323,67781,10725
39,KABERAMAIDO,Kaberamaido,213,KABERAMAIDO,Kaberamaido,TESO,EASTERN REGION,38797,215026,106042,108984,1624.00335,132.4048993,5.542335748,39643,10961,10942,57912,33409,62723,25032,34296,4501,22042,25121,2176,37310,32737,36224,36505,32405,6392,30324,8473,33767,5030,3530,35267,4738,26894,7165,2055,5.296801299,1885,22936,11921
113,KAGADI,Kagadi,407,KIBAALE,Kibaale,WESTERN,WESTERN REGION,70480,333379,162868,170511,1555.095275,214.3785048,4.73012202,62054,9471,27942,97898,35523,97352,41860,56492,13988,47148,18586,9170,67602,61784,67299,66662,48926,21554,10336,60144,57923,12557,27870,42610,9401,58562,2517,13359,18.95431328,3642,43052,10427
114,KAKUMIRO,Kakumiro,407,KIBAALE,Kibaale,WESTERN,WESTERN REGION,56652,258905,130138,128767,1668.941499,155.1312615,4.570094613,45809,7325,22330,81086,24045,76572,35635,47967,8685,36864,17242,6216,52980,51167,55148,52788,39920,16732,10864,45788,48820,7832,22937,33715,7226,47236,2190,7649,13.50172986,2795,31994,14214
40,KALANGALA,Kalangala,101,KALANGALA,Kalangala,CENTRAL 1,CENTRAL REGION,20100,54293,31349,22944,7745.043451,7.010031686,2.701144279,4915,546,3897,18948,10877,24640,7419,4421,15679,12610,2365,1093,15915,19120,18604,17284,17093,3007,4077,16023,16094,4006,10715,9385,5412,13034,1654,2751,13.68656716,2939,9172,5238
41,KALIRO,Kaliro,222,KALIRO,Kaliro,EAST CENTRAL,EASTERN REGION,42966,236199,115969,120230,869.1409764,271.7614362,5.497346739,49194,5810,21092,58734,30378,55871,38044,37376,5590,26088,22616,2301,37416,35732,40854,41091,14414,28552,14707,28259,32190,10776,2756,40210,7224,33156,2586,3373,7.850393334,1827,32283,5483
42,KALUNGU,Kalungu,122,KALUNGU,Kalungu,CENTRAL 1,CENTRAL REGION,41494,183232,89679,93553,836.8907471,218.9437518,4.415867354,38971,2368,10594,48962,28862,58957,16800,26037,15457,31125,17405,5519,38310,38215,39945,35608,9718,31776,1551,39943,21871,19623,15556,25938,10940,29584,970,8215,19.79804309,5272,25814,2193
43,KAMPALA,Kampala,102,KAMPALA,Kampala,CENTRAL 1,CENTRAL REGION,416803,1507079,712762,794318,195.1377173,7723.155836,3.615806508,194820,10626,37107,208707,711739,813438,48605,4761,412042,253583,28400,28760,357403,410622,400738,356872,21866,394937,1370,415433,20071,396732,24708,392095,124355,290766,1682,351074,84.23019988,19479,11574,34676
44,KAMULI,Kamuli,205,KAMULI,Kamuli,EAST CENTRAL,EASTERN REGION,93834,486319,236389,249930,1556.092962,312.5256729,5.182758915,104014,8782,34456,117920,79245,134756,61672,73683,20151,58390,49011,10230,89817,81231,89183,87382,20316,73518,8450,85384,63670,30164,7255,86579,22184,66946,4704,10019,10.67736641,5654,67307,10854
45,KAMWENGE,Kamwenge,413,KAMWENGE,Kamwenge,WESTERN,WESTERN REGION,80116,374267,182678,191589,2410.629934,155.2569288,4.671563733,127443,203495,37938,113039,37989,113984,51184,69375,10741,52257,21157,6666,76804,69764,77126,75202,65417,14699,11765,68351,67455,12661,41326,38790,16138,62829,1149,7465,9.317739278,6137,55927,10587
46,KANUNGU,Kanungu,414,KANUNGU,Kanungu,SOUTH WESTERN,WESTERN REGION,56109,252144,121081,131063,1329.211027,189.6944841,4.49382452,48500,5723,19348,75970,36864,84370,33722,46268,9841,39283,5431,3439,53857,49618,53025,51630,43655,12454,3742,52367,43734,12375,24015,32094,8258,47244,607,6488,11.56320733,8744,29522,11355
47,KAPCHORWA,Kapchorwa,206,KAPCHORWA,Kapchorwa,ELGON,EASTERN REGION,20466,105186,51658,53528,357.3916481,294.3157753,5.139548519,21490,1187,6059,25228,24652,33223,14732,15123,5343,11566,1379,1326,19698,18348,19212,19191,18654,1812,3700,16766,17800,2666,4830,15636,3541,15294,1631,1724,8.423727157,3734,12381,2627
48,KASESE,Kasese,406,KASESE,Kasese,WESTERN,WESTERN REGION,138864,694987,338215,356772,3391.483374,204.9212464,5.004803261,132224,15292,59729,180101,109085,205943,97155,98120,40744,88853,22560,8459,132641,119759,130192,130654,69182,69682,8484,130380,102314,36550,37755,101109,28371,107500,2993,23771,17.11818758,13250,93308,8535
49,KATAKWI,Katakwi,207,KATAKWI,Katakwi,TESO,EASTERN REGION,30791,166231,81673,84558,2427.620957,68.47485787,5.398687928,32262,5300,15521,45007,22565,42484,28770,25626,5165,14459,14559,1829,29127,24162,27514,21944,27332,3459,26797,3994,27757,3034,1475,29316,4882,13201,12708,1589,5.160598876,2161,10118,16923
50,KAYUNGA,Kayunga,112,KAYUNGA,Kayunga,CENTRAL 2,CENTRAL REGION,76168,368062,180706,187356,1703.581265,216.0519182,4.832239261,15488,50068,26236,94298,55801,48093,22808,56095,20073,49512,35870,7023,69602,67202,72343,67764,30223,45945,12192,63976,45003,31165,14347,61821,17366,53981,4821,11472,15.06144313,6721,51551,6424
51,KIBAALE,Kibaale,407,KIBAALE,Kibaale,WESTERN,WESTERN REGION,41240,192804,96778,96026,1161.294114,166.0251246,4.675169738,35033,5881,14572,60832,16859,56512,24044,35960,5280,28386,10863,5415,39445,37391,40296,39096,30913,10327,6566,34674,35976,5264,16640,24600,5315,33973,1952,5451,13.21774976,2099,26263,7427
52,KIBOGA,Kiboga,103,KIBOGA,Kiboga,CENTRAL 2,CENTRAL REGION,34072,148218,75847,72371,1563.173756,94.81863384,4.350140878,28274,2119,12925,39212,22865,47624,17938,23644,10428,22608,10373,4370,31163,30683,32367,29136,15097,18975,4396,29676,20893,13179,14882,19190,6691,26248,1133,5459,16.02195351,3763,18568,6282
53,KIBUKU,Kibuku,227,KIBUKU,Kibuku,TESO,EASTERN REGION,35474,202033,97476,104557,489.9000772,412.3963425,5.695241585,41674,5144,15352,53320,24743,46101,33209,31482,3992,17551,15305,2238,34657,26897,33722,34007,13100,22374,11886,23588,27412,8062,1935,33539,6461,26924,2089,1803,5.082595704,1607,27815,4249
54,KIRUHURA,Kiruhura,419,KIRUHURA,Kiruhura,SOUTH WESTERN,WESTERN REGION,67302,328077,166214,161863,4602.769139,71.27817843,4.874699117,55992,8500,42571,92226,42801,102302,53310,46883,20419,45941,20587,7479,62943,60504,64200,59341,46357,20945,11444,55858,45481,21821,55929,11373,9824,55636,1842,9962,14.80193754,11509,30772,15059
