ID,DNAME2016,District_2016,DCODE2014,DNAME2014,District_2014,SUBREGION,REGION,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Average_Household_Size_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014
55,KIRYANDONGO,Kiryandongo,421,KIRYANDONGO,Kiryandongo,WESTERN,WESTERN REGION,52223,266197,132822,133375,3621.526248,73.50409241,5.097313444,49493,8817,23481,72770,33636,64457,47136,41780,10443,26958,17477,4010,48231,45476,49310,48884,37216,15007,33035,19188,40787,11436,9744,42479,8823,36157,7243,6538,12.51938801,8016,29264,8405
56,KISORO,Kisoro,408,KISORO,Kisoro,SOUTH WESTERN,WESTERN REGION,62290,281705,126055,155650,729.5160657,386.1532504,4.522475518,52649,8515,44543,67550,29590,72587,48453,53683,8607,39645,11794,3350,59779,53951,58022,55197,45194,17096,613,61677,51125,11165,26616,35674,10566,49159,2565,4718,7.574249478,4147,40928,12497
57,KITGUM,Kitgum,305,KITGUM,Kitgum,ACHOLI,NORTHERN REGION,39726,203878,99105,104773,4104.936694,49.66653939,5.132104919,37991,6915,20799,48515,34034,57563,30484,31673,8053,15649,19241,5719,37731,30867,35955,30107,29849,9877,28675,11051,32689,7037,6649,33077,10520,18170,11036,4610,11.60449076,7832,16055,11229
58,KOBOKO,Koboko,319,KOBOKO,Koboko,WEST NILE,NORTHERN REGION,30284,206276,102098,104178,773.2241994,266.7738544,6.81138555,38337,8158,20945,55688,24201,52712,33392,21788,8496,16177,12068,3955,29416,25498,27984,28618,21043,9241,24401,5883,25805,4479,9865,20419,6436,21286,2562,3912,12.91771232,4266,7233,14873
59,KOLE,Kole,325,KOLE,Kole,LANGO,NORTHERN REGION,48394,239327,117164,122163,1060.758559,225.618731,4.945385792,43468,10013,17866,77829,24816,71452,30895,44382,4012,28129,30542,3472,46861,41959,45507,43273,38157,10237,33894,14500,42942,5452,14934,33460,5812,36632,5950,2820,5.827168657,9296,26457,9821
60,KOTIDO,Kotido,306,KOTIDO,Kotido,KARAMOJA,NORTHERN REGION,26192,181050,86169,94881,3610.420462,50.14651393,6.912416005,4984,34349,73016,4386,5604,7258,63626,19473,6719,2283,3818,754,24853,8397,18149,12334,24229,1963,21486,4706,23801,2391,3856,22336,1369,5194,19629,2054,7.842089188,740,430,22968
61,KUMI,Kumi,208,KUMI,Kumi,TESO,EASTERN REGION,40805,239268,116457,122811,1074.061819,222.7693004,5.863693175,49519,5758,16430,68878,32733,65665,34929,33595,7210,21594,18304,3369,39534,35584,38400,36928,28099,12706,27348,13457,31131,9674,5302,35503,5529,27942,7334,3225,7.903443205,4023,14417,19140
62,KWEEN,Kween,228,KWEEN,Kween,ELGON,EASTERN REGION,17870,93667,47404,46263,814.8424219,114.9510598,5.241578064,22668,3609,5239,20951,19583,29188,14865,15102,2768,8310,1805,874,17108,16086,17004,17152,17327,543,7533,10337,17141,729,5523,12347,2091,12934,2845,720,4.029099049,2440,9955,4755
63,KYANKWANZI,Kyankwanzi,123,KYANKWANZI,Kyankwanzi,CENTRAL 2,CENTRAL REGION,47773,214693,111539,103154,2472.944149,86.81676054,4.494023821,38967,4764,22017,63683,24290,64125,32930,37388,10385,29908,20726,5758,43191,41602,45198,42204,29045,18728,13323,34450,35860,11913,22071,25702,7951,36504,3318,5193,10.87015678,3946,28226,10408
64,KYEGEGWA,Kyegegwa,422,KYEGEGWA,Kyegegwa,WESTERN,WESTERN REGION,60085,281637,140617,141020,1747.664676,161.1504792,4.687309645,43751,15622,26540,76142,34444,90462,45548,50614,9471,34730,11326,4528,55727,52301,57511,56160,50736,9349,13930,46155,52588,7497,45526,14559,9414,48466,2205,6987,11.62852625,3724,37972,11402
65,KYENJOJO,Kyenjojo,415,KYENJOJO,Kyenjojo,WESTERN,WESTERN REGION,91532,422204,210599,211605,2352.627691,179.4606097,4.612638203,70042,18630,41926,120130,48858,130624,60163,68188,23344,54222,17796,7331,86040,78212,86704,84730,74030,17502,12394,79138,77008,14524,50346,41186,15209,73567,2756,10277,11.22776734,6039,59664,15552
66,LAMWO,Lamwo,326,LAMWO,Lamwo,ACHOLI,NORTHERN REGION,27185,134371,65106,69265,5442.629132,24.68861955,4.942836123,26102,5296,13714,34570,17177,34213,21760,24157,3028,9435,13543,1817,25464,29593,32972,33453,24058,3127,23687,3498,25880,1305,6413,20772,6335,9741,11109,1348,4.958616884,5150,9196,11491
67,LIRA,Lira,307,LIRA,Lira,LANGO,NORTHERN REGION,89170,408043,196663,211380,1341.999399,304.056023,4.576012112,68199,15993,32787,111312,71366,131300,53460,57247,31923,53428,47935,8064,85594,79451,82821,78902,53671,35499,39908,49262,58326,30844,13508,75662,21668,61489,6013,14152,15.87080857,17072,39688,18258
68,LUUKA,Luuka,229,LUUKA,Luuka,EAST CENTRAL,EASTERN REGION,44404,238020,113566,124454,647.2942011,367.7153288,5.360327898,50299,6106,17091,59531,36633,64659,30547,36415,7989,28144,22392,3780,42568,38133,42565,41818,8590,35814,3699,40705,32653,11751,2634,41770,9100,33299,2005,3718,8.373119539,1894,35068,3724
69,LUWERO,Luwero,104,LUWERO,Luwero,CENTRAL 2,CENTRAL REGION,105422,456958,226805,230153,2215.954706,206.2126986,4.334560149,93229,4198,21977,111926,96732,161241,37202,62237,43185,74455,40554,15334,94065,98667,101916,92771,20829,84593,6226,99196,42234,63188,18833,86589,33743,69142,2537,28292,26.83690311,15334,51053,10743
70,LWENGO,Lwengo,124,LWENGO,Lwengo,CENTRAL 1,CENTRAL REGION,61828,274953,133474,141479,1024.346354,268.4180004,4.447062819,60258,3801,17475,76935,37209,27201,272095,46716,15112,44104,23811,9324,57834,56337,59703,53966,14508,47320,1721,60107,35637,26191,38485,23343,13851,46183,1794,11214,18.13741347,6727,39957,3930
71,LYANTONDE,Lyantonde,114,LYANTONDE,Lyantonde,CENTRAL 1,CENTRAL REGION,20639,93753,46714,47039,866.1445375,108.2417494,4.542516595,17799,1505,8859,26967,12456,30711,11726,14446,6193,14163,6622,3241,19478,18061,19738,18001,8635,12004,3377,17262,8773,4332,15634,5005,4187,15350,1102,4332,20.98938902,3100,10641,2566
72,MANAFWA,Manafwa,223,MANAFWA,Manafwa,ELGON,EASTERN REGION,72905,353825,173580,180245,533.9517862,662.6534626,4.85323366,74186,6755,15597,108739,50002,98577,50683,63023,9882,43109,16931,2155,71196,63345,68251,66921,57808,15097,9517,63388,63762,9143,11330,61575,14238,52923,5744,3409,4.675948152,7990,56803,4703
73,MARACHA,Maracha,320,MARACHA,Maracha,WEST NILE,NORTHERN REGION,36284,186134,87900,98234,441.3766034,421.7124301,5.129919524,9134,21380,24343,48154,22906,51140,36374,32914,3370,16580,14688,2256,35460,30117,33768,33319,23027,13257,28653,7631,33813,2471,7346,28938,4438,27600,4246,2173,5.988865616,7902,23706,2503
74,MASAKA,Masaka,105,MASAKA,Masaka,CENTRAL 1,CENTRAL REGION,75777,297004,145552,151452,2197.311737,135.1669838,3.919447854,55883,2581,12196,73422,68302,115764,19297,32062,43715,53008,20230,9246,67213,72396,72517,66139,12994,62783,1961,73816,26579,49198,23358,52419,21700,50534,3543,28470,37.57076686,9994,31878,5435
75,MASINDI,Masindi,409,MASINDI,Masindi,WESTERN,WESTERN REGION,64929,291113,148121,142992,3920.83371,74.24772932,4.483558964,50150,7132,22455,78868,48279,88795,42165,43418,21511,35293,20347,6535,59687,61019,62804,61486,31304,33625,22709,42220,41196,23733,11820,53109,15037,46249,3643,13367,20.58710284,7156,36688,7718
76,MAYUGE,Mayuge,214,MAYUGE,Mayuge,EAST CENTRAL,EASTERN REGION,95533,473239,229252,243987,3381.2422,139.9601011,4.953670459,95676,12852,45613,120854,59896,117270,76961,70811,24722,58573,38729,6311,75065,80569,90084,90145,41197,54336,18894,76639,70315,25218,28270,67263,16570,67693,11270,9319,9.754744434,5142,68633,12439
77,MBALE,Mbale,209,MBALE,Mbale,ELGON,EASTERN REGION,108813,488960,233339,255621,518.5898278,942.8646182,4.49358073,90979,9564,28752,123185,107460,158798,65559,61277,47536,64681,18615,5403,101807,99040,102422,98368,60025,48788,3437,105376,70705,38108,12157,96656,23592,80067,5154,26444,24.3022433,16597,57023,8749
78,MBARARA,Mbarara,410,MBARARA,Mbarara,SOUTH WESTERN,WESTERN REGION,113071,472629,230082,242547,1816.552504,260.1791024,4.179931194,81302,6095,33001,126076,104236,190032,42240,59531,53540,80439,29617,11551,105840,105732,109025,103553,57452,55619,2495,110576,56308,56763,41622,71449,20494,91561,1016,37886,33.50638095,16561,47239,11385
79,MITOOMA,Mitooma,423,MITOOMA,Mitooma,SOUTH WESTERN,WESTERN REGION,39817,183444,86484,96960,543.9023461,337.2737796,4.607177839,36590,2593,16303,52068,27048,60589,21164,32497,7320,27610,8594,3052,38891,35523,37731,36236,29715,10102,2300,37517,31052,8765,20597,19220,5890,33548,379,4158,10.4427757,6097,26013,3549
80,MITYANA,Mityana,115,MITYANA,Mityana,CENTRAL 2,CENTRAL REGION,79903,328964,165717,163247,1582.529321,207.8722938,4.117041913,64562,3746,18094,88018,63633,116997,30251,50426,29477,57455,20264,10597,71149,74777,76932,70377,25283,54620,2228,77675,41501,38402,39778,40125,20250,57453,2200,18362,22.98036369,8089,46014,7438
81,MOROTO,Moroto,308,MOROTO,Moroto,KARAMOJA,NORTHERN REGION,22084,103432,49746,53686,3546.130368,29.16756838,4.683571817,4967,16649,36398,5505,6911,9416,33040,10315,11769,3181,2433,708,21171,10032,16708,10769,20046,2038,14897,7187,18256,3828,3433,18651,1162,3778,17144,1985,8.988407897,600,632,18867
82,MOYO,Moyo,309,MOYO,Moyo,WEST NILE,NORTHERN REGION,25881,139012,68940,70072,1889.959088,73.55291491,5.371198949,26104,4596,10945,37785,22964,41840,19366,22207,3674,13706,9108,2682,25489,24049,24798,23029,12471,13410,22262,3619,20280,5601,1877,24004,3911,20298,1672,2997,11.5799235,4579,8477,9828
83,MPIGI,Mpigi,106,MPIGI,Mpigi,CENTRAL 1,CENTRAL REGION,60523,250548,125404,125144,1524.260317,164.3734978,4.13971548,49475,2868,13133,63510,49413,87564,22187,35849,24674,43333,16113,7328,52191,55558,57500,53301,13330,47193,1421,59102,25609,34914,21801,38722,17584,40948,1991,13765,22.74341986,9285,31382,6091
84,MUBENDE,Mubende,107,MUBENDE,Mubende,CENTRAL 2,CENTRAL REGION,151273,684348,346654,337694,4629.523117,147.8225689,4.52392694,126145,15566,59279,197499,81899,208517,87134,119805,31468,104534,38783,20263,138625,134702,145958,135866,86389,64884,14689,136584,109093,42180,99278,51995,25749,120613,4911,22119,14.62190873,10598,100909,17647
85,MUKONO,Mukono,108,MUKONO,Mukono,CENTRAL 2,CENTRAL REGION,144632,596804,289757,307047,4081.606304,146.2179239,4.126362078,110002,5999,29910,129428,158206,228475,49157,61856,82776,92507,29937,15969,124410,136463,138724,124267,27693,116939,7281,137351,47787,96845,34473,110159,47376,90102,7154,48299,33.39440788,21744,59811,14778
86,NAKAPIRIPIRIT,Nakapiripirit,311,NAKAPIRIPIRIT,Nakapiripirit,KARAMOJA,NORTHERN REGION,25411,156690,74578,82112,4182.081261,37.46699077,6.166227224,6087,22617,52056,8175,5963,9086,40719,21273,4138,3247,3245,447,23613,12885,21500,16759,24654,757,21956,3455,24152,1259,4869,20542,1380,3622,20409,728,2.864901027,830,560,23293
87,NAKASEKE,Nakaseke,116,NAKASEKE,Nakaseke,CENTRAL 2,CENTRAL REGION,43167,197373,104795,92578,3475.359195,56.79211526,4.572312183,36070,2632,16192,47373,32163,60803,22501,28920,14247,29125,15008,6697,38500,40303,41607,37439,14502,28665,5452,37715,23642,19525,11882,31285,11854,29842,1471,8337,19.31336438,6060,23817,4953
88,NAKASONGOLA,Nakasongola,109,NAKASONGOLA,Nakasongola,CENTRAL 2,CENTRAL REGION,36314,181795,93323,88472,3508.458667,51.81620115,5.006195957,35598,3531,12355,48075,29193,55071,21941,22672,13642,22293,18103,5382,33262,32425,34290,32791,16673,19641,10155,26159,23571,12743,13180,23134,8125,22717,5472,5775,15.90295754,5085,15205,10249
89,NAMAYINGO,Namayingo,230,NAMAYINGO,Namayingo,EAST CENTRAL,EASTERN REGION,42942,215443,106303,109140,4664.012257,46.1926316,5.017069536,43265,6475,17000,59977,24592,50414,37251,32414,10528,23057,18998,2190,40053,35968,39635,38735,34297,8645,22287,20655,35880,7062,24273,18669,6120,27578,9244,2124,4.946206511,2967,33215,4636
90,NAMUTUMBA,Namutumba,224,NAMUTUMBA,Namutumba,EAST CENTRAL,EASTERN REGION,45322,252557,123911,128646,813.7546683,310.3601243,5.57250342,53039,5818,22769,62596,32367,59593,40549,39179,6143,27334,23853,2720,43672,37545,43392,43200,14482,30840,10776,34546,33304,12018,7509,37813,7942,34219,3161,2941,6.489122281,2558,33003,6820
91,NAPAK,Napak,327,NAPAK,Napak,KARAMOJA,NORTHERN REGION,26764,142224,65518,76706,4473.350279,31.79362025,5.314003886,6614,25558,53589,9028,7024,11128,48482,21211,5553,4054,6286,394,25077,12265,20901,12814,25784,980,20691,6073,25514,1250,3738,23026,1297,7171,18296,763,2.850844418,680,1094,24227
92,NEBBI,Nebbi,310,NEBBI,Nebbi,WEST NILE,NORTHERN REGION,77503,396509,190905,205604,2024.252806,195.87919,5.116047121,67026,19023,39100,118856,40081,101813,68281,65880,11623,32431,23342,6627,75196,62262,66970,63728,67692,9811,62586,14917,67699,9804,27985,49518,15525,49261,12717,4955,6.393300904,11750,54327,6471
93,NGORA,Ngora,231,NGORA,Ngora,TESO,EASTERN REGION,23695,141919,68414,73505,721.0113458,196.833241,5.989407048,28785,3583,9058,38989,21616,39865,19496,20016,3679,13638,13470,1689,22710,20059,21736,20936,17456,6239,17186,6509,18718,4977,1876,21819,4032,16076,3587,1546,6.524583245,1368,6273,14508
94,NTOROKO,Ntoroko,424,NTOROKO,Ntoroko,WESTERN,WESTERN REGION,13942,67005,34038,32967,1400.857751,47.83140898,4.805981925,11455,3045,8308,17435,8398,19424,12189,7054,6888,7527,2958,1520,13189,11894,12697,12712,12640,1302,3010,10932,12029,1913,5965,7977,3809,8570,1563,1531,10.98120786,1339,7276,3796
95,NTUNGAMO,Ntungamo,411,NTUNGAMO,Ntungamo,SOUTH WESTERN,WESTERN REGION,101836,483841,232469,251372,2027.134995,238.6821801,4.751178365,92918,9178,51442,134558,63964,157004,59684,81062,20774,72404,32853,9188,98443,91370,97474,91055,82312,19524,5236,96600,78046,23790,43030,58806,15711,84581,1544,12701,12.47201383,12932,67412,8791
96,NWOYA,Nwoya,328,NWOYA,Nwoya,ACHOLI,NORTHERN REGION,26231,133506,65969,67537,4729.392556,28.22899525,5.089626777,25246,4404,10810,39602,13827,34016,21132,23901,2330,12780,11643,2276,3001,22026,24118,21240,24571,1660,23160,3071,24900,1331,15982,10249,3376,16452,6403,1380,5.260950783,2433,19841,2577
115,OMORO,Omoro,304,GULU,Gulu,ACHOLI,NORTHERN REGION,31603,160732,78837,81895,1564.979607,102.7054917,5.085972851,31754,4676,11672,46992,21213,44138,23771,28367,3236,16209,17102,2176,29603,26988,30049,26044,28496,3107,27279,4324,29320,2283,12368,19235,5305,20465,5833,1737,5.496313641,6831,20603,2432
97,OTUKE,Otuke,329,OTUKE,Otuke,LANGO,NORTHERN REGION,21957,104254,51187,53067,1650.422792,63.16805641,4.748098556,18214,4746,10992,29764,11250,28775,15499,19881,2076,9498,13189,925,21515,17284,19315,14618,19945,2012,19008,2949,20601,1356,6781,15176,2896,13392,5669,992,4.517921392,2432,10617,7916
98,OYAM,Oyam,321,OYAM,Oyam,LANGO,NORTHERN REGION,76615,383644,187121,196523,2248.311192,170.636521,5.007426744,67050,19847,30217,119994,41129,107456,55410,69796,6819,42359,45326,4139,73575,64886,72384,69304,62335,14280,58104,18511,68106,8509,25797,50818,11394,58574,6647,5366,7.003850421,14995,42192,14062
99,PADER,Pader,312,PADER,Pader,ACHOLI,NORTHERN REGION,34223,178004,86635,91369,3331.055941,53.43770958,5.201297373,34543,6436,18167,45422,23681,43653,30182,29577,4646,14179,17218,1826,32364,25410,30363,26841,29953,4270,29461,4762,31236,2987,8940,25283,8564,14058,11601,2627,7.676124244,7804,17342,6450
100,PALLISA,Pallisa,210,PALLISA,Pallisa,TESO,EASTERN REGION,65777,386889,188124,198765,1095.05404,353.3058515,5.881827995,80822,9227,26476,104551,50888,88673,64684,57504,8273,32187,30031,4527,63404,50280,60692,62130,30566,35211,25966,39811,51755,14022,6022,59755,11886,50100,3791,3825,5.815102543,4534,43190,14228
101,RAKAI,Rakai,110,RAKAI,Rakai,CENTRAL 1,CENTRAL REGION,116601,516309,254366,261943,4039.669375,127.8097171,4.427998045,104636,11840,40767,147460,63168,158612,60324,85529,31072,80819,39533,16454,108769,105185,112661,105485,48537,68064,9488,107113,73964,42637,82800,33801,21286,90025,5290,17134,14.69455665,11002,79922,8543
116,RUBANDA,Rubanda,404,KABALE,Kabale,SOUTH WESTERN,WESTERN REGION,43354,196896,92011,104885,687.6367234,286.3372378,4.541587858,37907,3469,18066,62461,22722,64672,24821,38927,4427,31908,6579,1355,42093,39107,41590,39933,39785,3569,830,42524,36440,6914,11449,31905,4267,38690,397,2590,5.974073903,5799,18736,16229
102,RUBIRIZI,Rubirizi,425,RUBIRIZI,Rubirizi,SOUTH WESTERN,WESTERN REGION,28798,129149,61765,67384,1472.256474,87.72180816,4.484651712,25019,3712,13483,36484,14946,39079,17159,23503,5295,18422,7043,1511,27998,26089,27906,26006,16697,12101,1408,27390,24024,4774,12829,15969,2823,25672,303,3327,11.55288562,2824,20530,2117
103,RUKUNGIRI,Rukungiri,412,RUKUNGIRI,Rukungiri,SOUTH WESTERN,WESTERN REGION,69579,314694,150016,164678,1523.597691,206.5466506,4.522830164,60481,4106,22515,91017,54764,112961,32242,53139,16440,50349,13690,4965,67075,61778,66366,64370,59114,10465,2668,66911,50230,19349,27964,41615,11136,57626,817,9915,14.24998922,12244,40063,7357
104,SERERE,Serere,232,SERERE,Serere,TESO,EASTERN REGION,47823,285903,139493,146410,1963.915645,145.5780449,5.978357694,59446,7506,16469,83991,35210,75646,39621,41832,5991,28408,32322,3134,43566,40442,44949,42374,38332,9491,37066,10757,40414,7409,2470,45353,5229,36093,6501,3213,6.718524559,3679,15942,24989
105,SHEEMA,Sheema,426,SHEEMA,Sheema,SOUTH WESTERN,WESTERN REGION,46203,207343,99225,108118,700.0769607,296.1717234,4.487652317,36331,5958,16135,58753,39741,79906,19770,34059,12144,34626,16383,4568,44394,43553,45058,43015,31059,15144,932,45271,30103,16100,19456,26747,7839,38052,312,8396,18.17198017,9956,24539,3312
106,SIRONKO,Sironko,215,SIRONKO,Sironko,ELGON,EASTERN REGION,54735,242421,120862,121559,405.561509,597.7416363,4.428994245,45640,5087,15609,74458,38210,70656,39123,45462,9273,30862,9067,1763,52621,47690,50552,48549,44800,9935,1977,52758,47435,7300,11025,43710,11088,38923,4724,4719,8.621540148,8834,37755,3427
107,SOROTI,Soroti,211,SOROTI,Soroti,TESO,EASTERN REGION,55009,296833,144976,151857,1410.920921,210.3824499,5.396080641,56596,7174,18110,77591,53283,91509,35899,37549,17460,26613,24722,2900,51985,47846,51345,50717,35938,19071,32649,22360,37686,17323,3771,51238,11816,36803,6390,8216,14.93573779,5684,23323,17786
108,SSEMBABULE,Ssembabule,111,SSEMBABULE,Ssembabule,CENTRAL 1,CENTRAL REGION,55427,252597,126084,126513,2340.535374,107.922744,4.557291573,50827,5745,26872,70073,27724,73286,35359,44837,10590,38487,22334,5747,51762,48759,53001,47945,18616,36811,7399,48028,36886,18541,44901,10526,9447,43376,2604,8102,14.61742472,6815,34700,5810
109,TORORO,Tororo,212,TORORO,Tororo,ELGON,EASTERN REGION,102627,517080,250830,266250,1193.681399,433.1809144,5.038440177,103744,10558,42985,138249,78274,131959,89470,81167,21460,45370,44047,5809,97862,89064,95199,96174,64369,38258,34987,67640,76451,26176,19953,82674,19467,73664,9496,11440,11.147164,8814,75509,6864
110,WAKISO,Wakiso,113,WAKISO,Wakiso,CENTRAL 1,CENTRAL REGION,503442,1997418,949035,1048383,2806.878479,711.6154173,3.967523568,313049,17716,63651,319174,767985,926003,97376,69509,433933,328832,62389,52854,437016,491046,488122,448236,27203,476239,3154,500288,61565,441877,92398,411044,206355,293260,3827,316149,62.797502,64320,71452,51521
111,YUMBE,Yumbe,313,YUMBE,Yumbe,WEST NILE,NORTHERN REGION,63786,484822,230626,254196,2312.776634,209.6276799,7.600758787,103697,34104,61731,94557,47964,93288,74916,58059,5727,34013,35504,7231,61973,51315,58799,57082,45971,17815,55118,8668,59465,4321,20987,42799,11231,46588,5967,3530,5.534129746,8984,11270,40002
112,ZOMBO,Zombo,330,ZOMBO,Zombo,WEST NILE,NORTHERN REGION,50278,240081,115824,124257,898.2903494,267.2643652,4.775070607,39932,15793,29738,69091,16958,53015,47286,43699,6579,20992,14607,3817,47921,42613,46319,46292,42319,7959,37977,12301,44254,6024,16483,33795,7344,34494,8440,2843,5.654560643,6194,37715,3526
