Organisation_Name,s_city_id,School,Is_the_Support_for_Primary_School_or_AEP_centre_hosted_by_the_school?,e_city_id,Pathway,Name_of_pathway,s_lat,s_lon,e_lat,e_lon,Total Students,Refugee Students,Total Teachers,Refugee Teachers,Date of Data Collection,Priority Approaches,Funding Modality,Number of Latrines,IELTS,Settlement,Type of Facility
Plan International Uganda,15,HillTop Primary School,Primary School,8,Referral,Plan International Uganda,3.149502,31.24843,2.036769266,33.67137519,223,100,44,41,15/12/2018,"TeamUp,Early Grade Reading",ECW&ECHO,35,5,Rhino Camp,MOE (Government)
Windle International Uganda,22,Kajaho Primary School,Primary School,8,Referral,Windle International Uganda,0.339557,30.65181,2.036769266,33.67137519,169,239,25,40,03/11/2018,"Double Shifting,Early Grade Reading",ECHO,16,4,Oruchinga,MOE (Government)
Finn Church Aid,29,Kyempango Primary School,AEP centre,8,Referral,Finn Church Aid,3.475668,31.62492,2.036769266,33.67137519,173,195,43,31,21/02/2019,"Can't wait to Learn,Early Grade Reading",ECHO,0,7,Palorinya,MOE (Government)
Norwegian Refugee Council,36,Mengo Primary School,AEP centre,8,Referral,Norwegian Refugee Council,3.457819,31.94402,2.036769266,33.67137519,241,67,42,28,10/05/2019,"Early Grade Reading,Early Grade Reading",ECW&ECHO,29,5,Rwamwanja,MOE (Government)
Windle International Uganda,43,Para Primary School,Primary School,8,Referral,Windle International Uganda,3.405177,31.37442,2.036769266,33.67137519,281,296,20,39,28/08/2018,"TeamUp,Early Grade Reading",ECW&ECHO,31,1,Palorinya,MOE (Government)
ZOA + Palm Corps,50,Vurra Bileafe Primary School,Primary School,8,Referral,ZOA + Palm Corps,3.475668,31.62492,2.036769266,33.67137519,105,102,46,32,15/06/2019,"Can't wait to Learn,Early Grade Reading",ECHO,15,1,Bidibidi,MOE (Government)
APPCO,2,Agomvusus Primary School,Primary School,9,Referral,APPCO,3.149483,31.24836,1.150989246,31.7588854,235,229,20,44,28/08/2018,"Early Grade Reading,TeamUp",ECHO,18,1,Palorinya,Private school
ZOA + Palm Corps,9,Budri Primary School,Primary School,9,Referral,ZOA + Palm Corps,3.475668,31.62492,1.150989246,31.7588854,86,258,33,21,17/08/2018,"TeamUp,TeamUp",ECHO,13,4,Bidibidi,Private school
War Child Canada,16,Hope Primary School,AEP centre,9,Referral,War Child Canada,3.471714,31.62136,1.150989246,31.7588854,139,250,37,40,10/12/2018,"Double Shifting,TeamUp",ECW,33,3,Bidibidi,Private school
Windle International Uganda,23,Kakoni A Primary School,Primary School,9,Referral,Windle International Uganda,0.328273,30.65777,1.150989246,31.7588854,204,68,46,49,05/06/2018,"Can't wait to Learn,TeamUp",ECW,42,8,Nakivale,Private school
Finn Church Aid,30,Lanya Primary School,Primary School,9,Referral,Finn Church Aid,3.187513,31.19721,1.150989246,31.7588854,178,89,29,27,23/04/2019,"Early Grade Reading,TeamUp",ECHO,20,4,Rwamwanja,Private school
APPCO,37,Moroni Primary School,Primary School,9,Referral,APPCO,3.097403,31.35061,1.150989246,31.7588854,272,218,20,46,11/11/2018,"TeamUp,TeamUp",ECHO,46,2,Nyumanzi,Private school
Finn Church Aid,44,Para Primary School,Primary School,9,Referral,Finn Church Aid,1.18018,30.77316,1.150989246,31.7588854,149,106,21,33,20/06/2019,"Can't wait to Learn,TeamUp",ECW,54,2,Palorinya,Private school
APPCO,51,Waka Primary School,Primary School,9,Referral,APPCO,3.497401,31.67019,1.150989246,31.7588854,166,109,21,43,18/03/2019,"Early Grade Reading,TeamUp",ECW,51,8,Rhino Camp,Private school
Norwegian Refugee Council,3,Alaba Primary School,AEP centre,10,Referral,Norwegian Refugee Council,3.184237,31.1785,1.996883479,31.41714679,76,171,35,38,10/07/2018,"TeamUp,Can't wait to Learn",ECW,6,5,Nakivale,Community owned
ZOA + Palm Corps,10,Canaan Primary School,Primary School,10,Referral,ZOA + Palm Corps,-0.83551,30.85725,1.996883479,31.41714679,281,176,21,46,13/12/2018,"Double Shifting,Can't wait to Learn",ECHO&ECW,53,8,Rwamwanja,Community owned
War Child Canada,17,Hope Primary School,Primary School,10,Referral,War Child Canada,3.412344,31.58498,1.996883479,31.41714679,265,261,25,34,27/02/2019,"Can't wait to Learn,Can't wait to Learn",ECHO&ECW,38,3,Palorinya,Community owned
Plan International Uganda,24,Kali Central Primary School,Primary School,10,Referral,Plan International Uganda,3.297538,31.2778,1.996883479,31.41714679,208,278,41,29,23/04/2019,"Early Grade Reading,Can't wait to Learn",ECW&ECW,43,7,Oruchinga,Community owned
Norwegian Refugee Council,31,Layamo Agwata Primary School,AEP centre,10,Referral,Norwegian Refugee Council,3.394623,31.34663,1.996883479,31.41714679,122,245,45,25,27/09/2018,"TeamUp,Can't wait to Learn",ECW,54,9,Rwamwanja,Community owned
APPCO,38,Ngurwe Primary School,Primary School,10,Referral,APPCO,3.405177,31.37442,1.996883479,31.41714679,223,112,37,32,30/01/2019,"Can't wait to Learn,Can't wait to Learn",ECHO&ECW,17,9,Rhino Camp,Community owned
Plan International Uganda,45,Pasu Primary School,Primary School,10,Referral,Plan International Uganda,3.149483,31.24836,1.996883479,31.41714679,208,126,39,32,12/12/2018,"Early Grade Reading,Can't wait to Learn",ECHO&ECW,40,2,Oruchinga,Community owned
ZOA + Palm Corps,52,Wanguru Primary School,Primary School,10,Referral,ZOA + Palm Corps,3.412344,31.58498,1.996883479,31.41714679,85,266,27,25,07/10/2018,"TeamUp,Can't wait to Learn",ECW,13,7,Palorinya,Community owned
AVSI + Luigi Institute of Higher Education,4,Ambia Primary School,Primary School,11,Referral,AVSI + Luigi Institute of Higher Education,3.412344,31.58498,1.139107547,33.6135052,53,116,31,35,09/05/2019,"Double Shifting,Double Shifting",ECW&ECHO,37,1,Palorinya,MOE (Government)
Plan International Uganda,11,Chinyi Primary School,Primary School,11,Referral,Plan International Uganda,3.497401,31.67019,1.139107547,33.6135052,294,267,48,31,28/11/2018,"Can't wait to Learn,Double Shifting",ECW&ECHO,37,9,Nakivale,MOE (Government)
War Child Canada,18,Iboa Primary Schoool,AEP centre,11,Referral,War Child Canada,3.366227,31.31987,1.139107547,33.6135052,164,159,41,38,17/06/2018,"Early Grade Reading,Double Shifting",ECHO,51,2,Pagrinya,MOE (Government)
Finn Church Aid,25,Kasonga Primary School,AEP centre,11,Referral,Finn Church Aid,0.351547,30.69817,1.139107547,33.6135052,229,166,22,48,20/12/2018,"TeamUp,Double Shifting",ECHO,27,2,Palorinya,MOE (Government)
War Child Canada,32,Lokopio Primary School,AEP centre,11,Referral,War Child Canada,3.335036,31.70155,1.139107547,33.6135052,234,230,23,29,15/06/2019,"Can't wait to Learn,Double Shifting",ECW&ECHO,52,5,Bidibidi,MOE (Government)
APPCO,39,Nipata Primary School,Primary School,11,Referral,APPCO,3.38742,31.56715,1.139107547,33.6135052,114,195,29,50,31/10/2018,"Early Grade Reading,Double Shifting",ECW&ECHO,35,8,Bidibidi,MOE (Government)
Finn Church Aid,46,Progressive Primary School,Primary School,11,Referral,Finn Church Aid,3.109412,32.5306,1.139107547,33.6135052,108,143,45,37,19/02/2019,"TeamUp,Double Shifting",ECHO,10,2,Nakivale,MOE (Government)
Finn Church Aid,53,Wanguru Primary School,AEP centre,11,Referral,Finn Church Aid,3.475668,31.62492,1.139107547,33.6135052,274,143,26,35,21/01/2019,"Double Shifting,Double Shifting",ECHO&ECHO,49,7,Rwamwanja,MOE (Government)
War Child Canada,5,Apyeta Primary School,AEP centre,12,Referral,War Child Canada,3.552944,31.80733,0.878918777,33.0708986,55,262,24,42,28/12/2018,"Can't wait to Learn,Can't wait to Learn",ECHO,43,3,Maaji II,Private school
APPCO,12,Dradranga Primary School,Primary School,12,Referral,APPCO,3.257749,31.92544,0.878918777,33.0708986,235,265,40,25,29/09/2018,"Early Grade Reading,Can't wait to Learn",ECW,5,7,Nakivale,Private school
Windle International Uganda,19,Imvepi Primary School,Primary School,12,Referral,Windle International Uganda,3.405797,31.41337,0.878918777,33.0708986,146,267,48,37,19/11/2018,"TeamUp,Can't wait to Learn",ECW,26,4,Palorinya,Private school
Finn Church Aid,26,Katiku Primary School,Primary School,12,Referral,Finn Church Aid,-0.79948,30.81382,0.878918777,33.0708986,299,90,45,50,17/08/2018,"Can't wait to Learn,Can't wait to Learn",ECHO,44,3,Nakivale,Private school
Save the Children International,33,Lugbari Primary School,AEP centre,12,Referral,Save the Children International,3.232087,31.53682,0.878918777,33.0708986,119,248,24,22,23/11/2018,"Early Grade Reading,Can't wait to Learn",ECHO,44,8,Rwamwanja,Private school
Street Child + African Women and Youth Action Development (AWYAD),40,Nipata Primary School,Primary School,12,Referral,Street Child + African Women and Youth Action Development (AWYAD),3.377168,31.93042,0.878918777,33.0708986,164,161,48,29,10/06/2018,"TeamUp,Can't wait to Learn",ECW,49,2,Palorinya,Private school
Finn Church Aid,47,Rock City Primary School,AEP centre,12,Referral,Finn Church Aid,3.392468,31.33868,0.878918777,33.0708986,146,245,33,25,28/06/2018,"Double Shifting,Can't wait to Learn",ECW,25,2,Oruchinga,Private school
Finn Church Aid,54,Wanguru Primary School,Primary School,12,Referral,Finn Church Aid,3.149483,31.24836,0.878918777,33.0708986,271,277,49,45,01/12/2018,"Can't wait to Learn,Can't wait to Learn",ECHO,54,3,Rwamwanja,Private school
Save the Children International,6,Ariaze Primary School,AEP centre,13,Referral,Save the Children International,-0.99562,30.73266,0.981287498,32.56860089,144,72,47,49,30/09/2018,"Early Grade Reading,Early Grade Reading",ECHO&ECW,21,2,Rhino Camp,Community owned
Finn Church Aid,13,Eden Primary School,AEP centre,13,Referral,Finn Church Aid,3.105932,31.15897,0.981287498,32.56860089,81,244,38,43,24/08/2018,"TeamUp,Early Grade Reading",ECHO&ECW,16,8,Bidibidi,Community owned
Finn Church Aid,20,Inyau Primary School,AEP centre,13,Referral,Finn Church Aid,3.05074,31.31307,0.981287498,32.56860089,110,292,41,49,21/01/2019,"Can't wait to Learn,Early Grade Reading",ECW&ECW,14,8,Palorinya,Community owned
Finn Church Aid,27,Kayenje II Primary School,Primary School,13,Referral,Finn Church Aid,-0.83551,30.85725,0.981287498,32.56860089,190,296,38,30,09/11/2018,"Early Grade Reading,Early Grade Reading",ECW,51,3,Palorinya,Community owned
Save the Children International,34,Lugwar Primary School,AEP centre,13,Referral,Save the Children International,3.409092,31.58463,0.981287498,32.56860089,279,289,34,26,23/09/2018,"TeamUp,Early Grade Reading",ECHO&ECW,49,3,Nakivale,Community owned
APPCO,41,Nyamiganda Primary School,Primary School,13,Referral,APPCO,3.475668,31.62492,0.981287498,32.56860089,225,168,43,37,05/03/2019,"Double Shifting,Early Grade Reading",ECHO&ECW,37,6,Pagrinya,Community owned
War Child Canada,48,Romogi Primary School,AEP centre,13,Referral,War Child Canada,3.165987,31.21375,0.981287498,32.56860089,260,146,37,41,26/02/2019,"Can't wait to Learn,Early Grade Reading",ECW&ECW,48,1,Palorinya,Community owned
Finn Church Aid,55,Wanyange Primary School,Primary School,13,Referral,Finn Church Aid,3.38742,31.56715,0.981287498,32.56860089,227,278,37,35,26/07/2018,"Early Grade Reading,Early Grade Reading",ECW,0,5,Bidibidi,Community owned
APPCO,7,Away Primary School,Primary School,14,Referral,APPCO,-0.84277,30.78977,1.186055014,33.18281466,155,95,29,41,27/04/2019,"TeamUp,TeamUp",ECW&ECHO,10,2,Palorinya,MOE (Government)
Finn Church Aid,14,Emmanuel Primary School,Primary School,14,Referral,Finn Church Aid,3.484363,31.39079,1.186055014,33.18281466,87,232,30,49,06/12/2018,"Can't wait to Learn,TeamUp",ECHO,45,4,Palorinya,MOE (Government)
Finn Church Aid,21,Itula Primary School,Primary School,14,Referral,Finn Church Aid,3.500916,31.67091,1.186055014,33.18281466,167,170,24,45,09/09/2018,"Early Grade Reading,TeamUp",ECHO,19,2,Palorinya,MOE (Government)
Finn Church Aid,28,Kena Valley Primary School,AEP centre,14,Referral,Finn Church Aid,3.288907,31.31067,1.186055014,33.18281466,279,148,31,26,29/07/2018,"TeamUp,TeamUp",ECW&ECHO,42,5,Maaji II,MOE (Government)
Windle International Uganda,35,Luru Primary School,Primary School,14,Referral,Windle International Uganda,3.385635,31.30983,1.186055014,33.18281466,52,133,23,22,10/09/2018,"Double Shifting,TeamUp",ECW&ECHO,52,8,Nakivale,MOE (Government)
Save the Children International,42,Nyarugug Primary School,AEP centre,14,Referral,Save the Children International,3.412344,31.58498,1.186055014,33.18281466,78,216,25,26,25/09/2018,"Can't wait to Learn,TeamUp",ECHO,6,2,Palorinya,MOE (Government)
ZOA + Palm Corps,49,Rwamwanja Primary School,Primary School,14,Referral,ZOA + Palm Corps,-0.83551,30.85725,1.186055014,33.18281466,274,161,35,23,18/08/2018,"Early Grade Reading,TeamUp",ECHO,14,2,Nakivale,MOE (Government)
Norwegian Refugee Council,56,World View Nursery and Primary School,AEP centre,14,Referral,Norwegian Refugee Council,3.367746,32.44124,1.186055014,33.18281466,230,263,45,42,01/03/2019,"TeamUp,TeamUp",ECW&ECHO,40,1,Rwamwanja,MOE (Government)
Save the Children International,1,Abiriamajo Primary School,AEP centre,15,Referral,Save the Children International,3.165987,31.21375,2.773260854,33.55962524,254,199,39,25,12/06/2019,"Can't wait to Learn,Can't wait to Learn",ECW,8,5,Rhino Camp,Private school
Finn Church Aid,8,Bright Light Primary School,AEP centre,15,Referral,Finn Church Aid,-0.9395,30.75278,2.773260854,33.55962524,91,164,21,45,15/05/2019,"Early Grade Reading,Can't wait to Learn",ECW,30,5,Omugo,Private school
War Child Canada,15,HillTop Primary School,AEP centre,15,Referral,War Child Canada,3.149502,31.24843,2.773260854,33.55962524,125,124,42,22,27/02/2019,"TeamUp,Can't wait to Learn",ECHO,15,8,Bidibidi,Private school
Catholic Relief Services,22,Kajaho Primary School,Primary School,15,Referral,Catholic Relief Services,0.339557,30.65181,2.773260854,33.55962524,247,216,46,41,08/08/2018,"Double Shifting,Can't wait to Learn",ECHO,33,2,Rhino Camp,Private school
Windle International Uganda,29,Kyempango Primary School,Primary School,15,Referral,Windle International Uganda,3.475668,31.62492,2.773260854,33.55962524,228,174,32,34,21/09/2018,"Can't wait to Learn,Can't wait to Learn",ECW,20,9,Bidibidi,Private school
War Child Canada,36,Mengo Primary School,AEP centre,15,Referral,War Child Canada,3.457819,31.94402,2.773260854,33.55962524,289,69,46,29,28/02/2019,"Early Grade Reading,Can't wait to Learn",ECW,29,4,Palorinya,Private school
APPCO,43,Para Primary School,Primary School,15,Referral,APPCO,3.405177,31.37442,2.773260854,33.55962524,71,139,23,46,08/01/2019,"TeamUp,Can't wait to Learn",ECHO,14,1,Palorinya,Private school
War Child Canada,50,Vurra Bileafe Primary School,AEP centre,15,Referral,War Child Canada,3.475668,31.62492,2.773260854,33.55962524,235,55,50,33,08/10/2018,"Can't wait to Learn,Can't wait to Learn",ECHO,1,5,Nakivale,Private school
